Language;Language;Pairaphrase;Xerox Easy Translator;Omniscien Technologies Language Studio;IBM Watson;Apertium;OpenLogos;Google Translate;Slate Rocks;Moses for Mere Mortals;Babel Fish;Bing Translator;GramTrans;SYSTRAN;IdiomaX;SAIC Omnifluent;lingenio translate
To English;Hindi to English;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No
To English;Hungarian to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;Indonesian to English;Yes;Yes;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No
To English;Irish to English;No;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No
To English;Italian to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No
To English;Japanese to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
To English;Korean to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
To English;Latvian to English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;Lithuanian to English;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;
To English;Macedonian to English;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No
To English;Malay to English;Yes;Yes;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No
To English;Maltese to English;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No
To English;Norwegian to English;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No
To English;Persian to English;Yes;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No
To English;Polish to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;Portuguese to English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No
To English;Portuguese (Brazilian) to English;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;Yes;No
To English;Romanian to English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;Russian to English;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;
To English;Serbo-Croatian to English;Yes;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No
To English;Slovak to English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;Slovene to English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No
To English;Spanish to English;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No
To English;Swedish to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No
To English;Tagalog to English;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No
To English;Thai to English;Yes;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No
To English;Turkish to English;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No
To English;Ukrainian to English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No
To English;Welsh to English;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No
Language;Language;Pairaphrase;Xerox Easy Translator;Omniscien Technologies Language Studio;IBM Watson;Apertium;OpenLogos;Google Translate;Slate Rocks;Moses for Mere Mortals;Babel Fish;Bing Translator;GramTrans;SYSTRAN;IdiomaX;SAIC Omnifluent;lingenio translate
Chinese (Simplified);English to Chinese (Simplified);Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
Chinese (Simplified);German to Chinese (Simplified);Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No
To Chinese (Traditional);English to Chinese (Traditional);Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
To Chinese (Traditional);German to Chinese (Traditional);Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No
To Dutch;English to Dutch;Yes;Yes;Yes;Yes;No;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No
To Dutch;French to Dutch;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
To French;English to French;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
To French;German to French;Yes;Yes;Yes;Yes;No;?;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes
To French;Spanish to French;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
To French;Catalan to French;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No
To French;Russian to French;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No
To French;Dutch to French;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
To French;Italian to French;Yes;Yes;Yes;No;?;?;Yes;Yes;Yes;?;Yes;?;Yes;Yes;Yes;No
To French;Breton to French;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No
To Galician;English to Galician;No;No;No;No;Yes;?;Yes;No;Yes;No;No;No;No;No;No;No
To Galician;Portuguese to Galician;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No
To Galician;Spanish to Galician;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No
To German;Chinese (Simplified) to German;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No
To German;Chinese (Traditional) to German;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No
To German;English to German;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes
To German;French to German;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes
To German;Spanish to German;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No
To German;Russian to German;Yes;Yes;Yes;No;No;No;Yes;Yes;No;Yes;Yes;No;No;No;Yes;No
To German;Italian to German;Yes;Yes;Yes;Yes;?;?;Yes;Yes;Yes;?;Yes;?;Yes;Yes;Yes;No
To Italian;English to Italian;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No
To Italian;Spanish to Italian;Yes;Yes;Yes;No;No;?;Yes;Yes;Yes;?;Yes;?;Yes;Yes;Yes;No
To Italian;French to Italian;Yes;Yes;Yes;No;No;?;Yes;Yes;Yes;?;Yes;?;Yes;Yes;Yes;No
To Italian;German to Italian;Yes;Yes;Yes;Yes;No;?;Yes;Yes;Yes;?;Yes;?;Yes;Yes;Yes;No
To Japanese;English to Japanese;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
To Japanese;German to Japanese;Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No
To Korean;English to Korean;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
To Portuguese;English to Portuguese;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
To Russian;English to Russian;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
To Russian;French to Russian;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No
To Russian;Spanish to Russian;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No
To Russian;German to Russian;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No
To Russian;Italian to Russian;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No
To Spanish;English to Spanish;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No
To Spanish;Russian to Spanish;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No
To Spanish;French to Spanish;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No
To Spanish;German to Spanish;Yes;Yes;Yes;No;No;?;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No
To Spanish;Italian to Spanish;Yes;Yes;Yes;No;?;?;Yes;Yes;Yes;?;Yes;?;No;Yes;Yes;No
To Welsh;English to Welsh;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No
Language;Language;Pairaphrase;Xerox Easy Translator;Omniscien Technologies Language Studio;IBM Watson;Apertium;OpenLogos;Google Translate;Slate Rocks;Moses for Mere Mortals;Babel Fish;Bing Translator;GramTrans;SYSTRAN;IdiomaX;SAIC Omnifluent;lingenio translate
To Arabic;English to Arabic;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No
To Catalan;English to Catalan;Yes;No;No;No;Yes;?;Yes;Yes;Yes;No;Yes;No;No;No;No;No
To Catalan;French to Catalan;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No
To Catalan;Italian to Catalan;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No
To Catalan;Occitan to Catalan;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No
To Catalan;Spanish to Catalan;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No
To Czech;English to Czech;Yes;Yes;Yes;Yes;No;?;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To Czech;German to Czech;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No
To Danish;English to Danish;Yes;Yes;Yes;Yes;No;?;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No
To Esperanto;Catalan to Esperanto;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No
To Esperanto;Danish to Esperanto;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No
To Esperanto;English to Esperanto;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No
To Esperanto;French to Esperanto;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No
To Esperanto;Spanish to Esperanto;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No
To Finnish;English to Finnish;Yes;Yes;Yes;Yes;No;?;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To Greek;English to Greek;Yes;Yes;Yes;No;No;?;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No
To Haitian Creole;English to Haitian Creole;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No
To Hebrew;English to Hebrew;Yes;No;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No
To Hindi;English to Hindi;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No
To Hungarian;English to Hungarian;Yes;Yes;Yes;Yes;No;?;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To Norwegian Bokmål;English to Norwegian Bokmål;Yes;Yes;Yes;Yes;No;?;Yes;No;Yes;No;No;Yes;No;No;No;No
To Norwegian Bokmål;Norwegian Nynorsk to Norwegian Bokmål;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No
To Norwegian Nynorsk;Norwegian Bokmål to Norwegian Nynorsk;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No
To Occitan;Catalan to Occitan;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No
To Occitan;Spanish to Occitan;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No
To Persian;English to Persian;Yes;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No
To Polish;English to Polish;Yes;Yes;Yes;Yes;No;?;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To Polish;German to Polish;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No
To Romanian;English to Romanian;Yes;Yes;Yes;No;No;?;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To Serbo-Croatian;English to Serbo-Croatian;Yes;No;Yes;No;No;?;Yes;Yes;Yes;No;No;Yes;No;No;No;No
To Slovenian;English to Slovenian;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No
To Slovenian;German to Slovenian;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No
To Swedish;English to Swedish;Yes;Yes;Yes;Yes;No;?;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To Turkish;English to Turkish;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No
To Ukrainian;English to Ukrainian;Yes;Yes;Yes;No;No;?;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No
Total (confirmed);Total (confirmed);55;85;85;51;27;7;110;94;31;89;10;64;15;59;6;
