GeForce GTX[73] 1060[74] [75][76][77];GeForce GTX[73] 1060[74] [78][79][80];March 8, 2018;GP104-150-A1;TSMC 16FF;7.2;314;1280:80:48 (10);PCIe 3.0 x16;1506;1709;2000;8008 (2002 MHz x 4);72.2 (82.0) (96.0);120.4 (136.7) (160.0);6;192.1;GDDR5;192;12 (12_1);4.6;2.2;1.1.94 [20];6.1;3855.3 (4375.0) (5120.0);120.4 (136.7) (160.0);60.2 (68.3) (80.0);120;No;?;?
GeForce GTX[73] 1060[74] [75][76][77];GeForce GTX[73] 1060[74] [78][79][80];July 19, 2016;GP106-400-A1 (Rev.1);TSMC 16FF;4.4;200;1280:80:48 (10);PCIe 3.0 x16;1506;1709;2000;8008 (2002 MHz x 4);72.2 (82.0) (96.0);120.4 (136.7) (160.0);6;192.1;GDDR5;192;12 (12_1);4.6;2.2;1.1.94 [20];6.1;3855.3 (4375.0) (5120.0);120.4 (136.7) (160.0);60.2 (68.3) (80.0);120;No;$249;$299
GeForce GTX[73] 1060[74] [75][76][77];GeForce GTX[73] 1060[74] [78][79][80];January 5, 2018;GP106-400-A1 (Rev.2);TSMC 16FF;4.4;200;1280:80:48 (10);PCIe 3.0 x16;1506;1709;2000;8008 (2002 MHz x 4);72.2 (82.0) (96.0);120.4 (136.7) (160.0);6;192.1;GDDR5;192;12 (12_1);4.6;2.2;1.1.94 [20];6.1;3855.3 (4375.0) (5120.0);120.4 (136.7) (160.0);60.2 (68.3) (80.0);120;No;$299;?
GeForce GTX[73] 1060[74] [75][76][77];GeForce GTX[73] 1060[74] [78][79][80];October 18, 2018;GP104-???-??;TSMC 16FF;7.2;314;1280:80:48 (10);PCIe 3.0 x16;1506;1709;2000;8008 (1001 MHz x 8);72.2 (82.0) (96.0);120.4 (136.7) (160.0);6;192.1;GDDR5X;192;12 (12_1);4.6;2.2;1.1.94 [20];6.1;3855.3 (4375.0) (5120.0);120.4 (136.7) (160.0);60.2 (68.3) (80.0);120;No;?;?
GeForce GTX[73] 1060[74] [75][76][77];GeForce GTX[73] 1060[74] [78][79][80];April 20, 2017;GP106-410-A1;TSMC 16FF;4.4;200;1280:80:48 (10);PCIe 3.0 x16;1506;1709;2000;9028 (2257 MHz x 4);72.2 (82.0) (96.0);120.4 (136.7) (160.0);6;216.6;GDDR5;192;12 (12_1);4.6;2.2;1.1.94 [20];6.1;3855.3 (4375.0) (5120.0);120.4 (136.7) (160.0);60.2 (68.3) (80.0);120;No;$299;?
GeForce GTX[81] 1070;GeForce GTX[81] 1070;June 10, 2016;GP104-200-A1;TSMC 16FF;7.2;314;1920:120:64 (15);PCIe 3.0 x16;1506;1683;1900;8008 (2002 MHz x 4);96.3 (107.7) (121.6);180.7 (201.9) (228.0);8;256.2;GDDR5;256;12 (12_1);4.6;2.2;1.1.94 [20];6.1;5783.0 (6462.7) (7296.0);180.7 (201.9) (228.0);90.3 (100.9) (114.0);150;4-way SLI or 2-way SLI HB [82][83];$379;$449 ($399)[84]
GeForce GTX[81] 1070;GeForce GTX[81] 1070;December 4, 2018;GP104-200-A1;TSMC 16FF;7.2;314;1920:120:64 (15);PCIe 3.0 x16;1506;1683;1900;8008 (1001 MHz x 8);96.3 (107.7) (121.6);180.7 (201.9) (228.0);8;256.2;GDDR5X;256;12 (12_1);4.6;2.2;1.1.94 [20];6.1;5783.0 (6462.7) (7296.0);180.7 (201.9) (228.0);90.3 (100.9) (114.0);150;4-way SLI or 2-way SLI HB [82][83];?;?
GeForce GTX[85] 1070 Ti;GeForce GTX[85] 1070 Ti;November 2, 2017;GP104-300-A1;TSMC 16FF;7.2;314;2432:152:64 (19);PCIe 3.0 x16;1607;1683;?;8008 (2002 MHz x 4);102.8 (107.7) (?);244 (256) (?);8;256.2;GDDR5;256;12 (12_1);4.6;2.2;1.1.94 [20];6.1;7816.4 (8186.1) (?);244.2 (255.8) (?);122.1 (127.9) (?);180;4-way SLI or 2-way SLI HB [82][83];$449;$449
GeForce GTX[86] 1080;GeForce GTX[86] 1080;May 27, 2016;GP104-400-A1;TSMC 16FF;7.2;314;2560:160:64 (20);PCIe 3.0 x16;1607;1733;1800;10008 (1251 MHz x 8);102.8 (110.9) (115.2);257.1 (277.2) (288.0);8;320.2;GDDR5X;256;12 (12_1);4.6;2.2;1.1.94 [20];6.1;8227.8 (8872.9) (9216.0);257.1 (277.2) (288.0);128.5 (138.6) (144.0);180;4-way SLI or 2-way SLI HB [82][83];$599 ($499)[84];$699 ($549)[84]
GeForce GTX[86] 1080;GeForce GTX[86] 1080;April 20, 2017;GP104-410-A1;TSMC 16FF;7.2;314;2560:160:64 (20);PCIe 3.0 x16;1607;1733;1800;11008 (1376 MHz x 8);102.8 (110.9) (115.2);257.1 (277.2) (288.0);8;352.2;GDDR5X;256;12 (12_1);4.6;2.2;1.1.94 [20];6.1;8227.8 (8872.9) (9216.0);257.1 (277.2) (288.0);128.5 (138.6) (144.0);180;4-way SLI or 2-way SLI HB [82][83];$599 ($499)[84];$699 ($549)[84]
GeForce GTX[87] 1080 Ti;GeForce GTX[87] 1080 Ti;March 5, 2017;GP102-350-K1-A1;TSMC 16FF;12;471;3584:224:88 (28);PCIe 3.0 x16;1480;1582;1645;11008 (1376 MHz x 8);130.2 (139.2) (144.7);331.5 (354.3) (368.4);11;484.3;GDDR5X;352;12 (12_1);4.6;2.2;1.1.94 [20];6.1;10608.6 (11339.7) (11791.3);331.5 (354.3) (368.4);165.7 (177.1) (184.2);250;4-way SLI or 2-way SLI HB [82][83];$699;$699
Nvidia[88] TITAN X;Nvidia[88] TITAN X;August 2, 2016;GP102-400-A1;TSMC 16FF;12;471;3584:224:96 (28);PCIe 3.0 x16;1417;1531;1595;10008 (1251 MHz x 8);136.0 (146.9) (153.1);317.4 (342.9) (357.2);12;480.3;GDDR5X;384;12 (12_1);4.6;2.2;1.1.94 [20];6.1;10157.0 (10974.2) (11432.9);317.4 (342.9) (357.2);158.7 (171.4) (178.6);250;4-way SLI or 2-way SLI HB [82][83];$1200;N/A
Nvidia TITAN Xp[89];Nvidia TITAN Xp[89];April 6, 2017;GP102-450-A1;TSMC 16FF;12;471;3840:240:96 (30);PCIe 3.0 x16;1405;1480;1582;11408 (1426 MHz x 8);134.8 (142.0) (151.8);337.2 (355.2) (379.6);12;547.6;GDDR5X;384;12 (12_1);4.6;2.2;1.1.94 [20];6.1;10790.4 (11366.4) (12149.7);337.2 (355.2) (379.6);168.6 (177.6) (189.8);250;4-way SLI or 2-way SLI HB [82][83];$1200;N/A
Model;Launch;Code name (s);Fab (nm);Transistors (billion);Die size (mm2);CUDA cores[a] (SM/SMP/ Streaming Multiprocessor);Bus interface;Base core clock (MHz);Boost core clock (MHz);Max Boost 3.0 (MHz) [51];Memory (MT/s);Pixel Base Core (Base Boost) (Max Boost 3.0) (GP/s)2;Texture Base Core (Base Boost) (Max Boost 3.0) (GT/s)3;Size (GiB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;OpenCL;Vulkan;CUDA;Single precision Base Core (Base Boost) (Max Boost 3.0);Double precision Base Core (Base Boost) (Max Boost 3.0);Half precision Base Core (Base Boost) (Max Boost 3.0)7;TDP (Watts);SLI support5;MSRP;Founders Edition;Model
Model;Launch;Code name (s);Fab (nm);Transistors (billion);Die size (mm2);Core config;Bus interface;Clock speeds;Clock speeds;Clock speeds;Clock speeds;Fillrate;Fillrate;Memory;Memory;Memory;Memory;Latest supported API version;Latest supported API version;Latest supported API version;Latest supported API version;Latest supported API version;Processing power (GFLOPS)4;Processing power (GFLOPS)4;Processing power (GFLOPS)4;TDP (Watts);SLI support5;Release price (USD);Release price (USD);Model
