|Austria|Belgium|Czech Republic|Denmark|Estonia|Finland|France|Germany|Greece|Hungary|Iceland|Ireland|Italy|Luxembourg|Netherlands|Norway|Poland|Portugal|Romania|Russia & Belarus|Slovakia|Slovenia|Spain|Sweden|Switzerland & Liechtenstein|Turkey|Ukraine|United Kingdom
|Austria|Belgium|Czech Republic|Denmark|Estonia|Finland|France|Germany|Greece|Hungary|Iceland|Ireland|Italy|Luxembourg|Netherlands|Norway|Poland|Portugal|Romania|Russia & Belarus|Slovakia|Slovenia|Spain|Sweden|Switzerland & Liechtenstein|Turkey|Ukraine|United Kingdom
Tram crossing|| /wiki/File:Belgian_road_sign_A49.svg| /wiki/File:Czech_Republic_road_sign_A_25.svg| /wiki/File:Denmark_road_sign_A71.svg| /wiki/File:EE_traffic_sign-131.png| /wiki/File:Finland_road_sign_167.svg| /wiki/File:France_road_sign_A9.svg| /wiki/File:Zeichen_101_-_Gefahrstelle,_StVO_1970.svg| /wiki/File:Road-sign-0041.svg| /wiki/File:Hungary_road_sign_A-040.svg|NOT USED| /wiki/File:Ireland_road_sign_W_124.svg| /wiki/File:Italian_traffic_signs_-_attraversamento_tramviario.svg| /wiki/File:Luxembourg_road_sign_diagram_A_28.gif| /wiki/File:Nederlands_verkeersbord_J14.svg| /wiki/File:Norwegian-road-sign-139.0.svg| /wiki/File:Znak_A-21.svg| /wiki/File:Portugal_road_sign_A28.svg| /wiki/File:Romania_road_sign_A43.svg| /wiki/File:1.5_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A22.svg| /wiki/File:Slovenia_road_sign_I-31.svg| /wiki/File:Spain_traffic_signal_p6.svg| /wiki/File:Sweden_road_sign_A37.svg| /wiki/File:CH-Gefahrensignal-Strassenbahn.svg| /wiki/File:Turkish_road_sign_15.jpg| /wiki/File:Ukraine_road_sign_1.20.gif| /wiki/File:UK_traffic_sign_772.svg
Crossroads with priority to the right| /wiki/File:Gefahrenzeichen_3.svg| /wiki/File:Belgian_road_sign_B17.svg| /wiki/File:Czech_road_sign_A03.svg|| /wiki/File:EE_traffic_sign-132.png| /wiki/File:Finland_road_sign_161.svg| /wiki/File:France_road_sign_AB1.svg| /wiki/File:Zeichen_102_-_Kreuzung_oder_Einm%C3%BCndung_mit_Vorfahrt_von_rechts,_StVO_1970.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-26.svg| /wiki/File:Hungary_road_sign_A-027.svg| /wiki/File:Iceland_road_sign_A05.11.svg|NOT USED| /wiki/File:Italian_traffic_signs_-_intersezione_con_precedenza_a_destra.svg| /wiki/File:Luxembourg_road_sign_diagram_A_23.gif|[note 3] /wiki/File:Nederlands_verkeersbord_J8.svg| /wiki/File:Norwegian-road-sign-124.0.svg| /wiki/File:Znak_A-5.svg| /wiki/File:Portugal_road_sign_A24.svg| /wiki/File:Romania_road_sign_A34.svg| /wiki/File:1.6_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_P4.svg| /wiki/File:Slovenia_road_sign_I-26.svg| /wiki/File:Spain_traffic_signal_p2.svg| /wiki/File:Sweden_road_sign_A28.svg| /wiki/File:CH-Vortrittssignal-Verzweigung_mit_Rechtsvortritt.svg| /wiki/File:Turkey_road_sign_T-21.svg| /wiki/File:Ukraine_road_sign_1.21.gif|NOT USED [note 4]
Crossroads with a minor road| /wiki/File:Gefahrenzeichen_4.svg| /wiki/File:Belgian_road_sign_B15.svg| /wiki/File:Czech_Republic_road_sign_P_1.svg| /wiki/File:Denmark_road_sign_A11.svg| /wiki/File:EE_traffic_sign-133a.png| /wiki/File:Finland_road_sign_162.svg| /wiki/File:France_road_sign_AB2.svg| /wiki/File:Zeichen_301_-_Vorfahrt,_StVO_1970.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-27.svg| /wiki/File:Hungary_road_sign_A-028.svg| /wiki/File:Iceland_road_sign_A07.11.svg| /wiki/File:Ireland_road_sign_W_001.svg| /wiki/File:Italian_traffic_signs_-_intersezione_con_diritto_di_precedenza.svg| /wiki/File:Luxembourg_road_sign_diagram_A_22_a.gif| /wiki/File:Nederlands_verkeersbord_B3.svg| /wiki/File:Norwegian-road-sign-210.0.svg| /wiki/File:Znak_A-6a.svg| /wiki/File:Portugal_road_sign_B8.svg| /wiki/File:Romania_road_sign_A35.svg| /wiki/File:2.3.1_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_P5.svg| /wiki/File:Slovenia_road_sign_I-27.svg| /wiki/File:Spain_traffic_signal_p1.svg| /wiki/File:Sweden_road_sign_A29-1.svg| /wiki/File:CH-Vortrittssignal-Verzweigung_mit_Strasse_ohne_Vortritt.svg| /wiki/File:Turkish_road_sign_16.jpg| /wiki/File:Ukraine_road_sign_1.22.gif| /wiki/File:UK_traffic_sign_504.1.svg
Junction with a minor side road| /wiki/File:Gefahrenzeichen_5aR.svg| /wiki/File:Belgian_road_sign_B15f.gif| /wiki/File:Czech_Republic_road_sign_P_1_-_right.svg| /wiki/File:Denmark_road_sign_A12.1.svg| /wiki/File:EE_traffic_sign-134a.png| /wiki/File:Finland_road_sign_163-R.svg|NOT USED|NOT USED| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-28a.svg| /wiki/File:Hungary_road_sign_A-030.svg| /wiki/File:Iceland_road_sign_A07.31.svg| /wiki/File:Ireland_road_sign_W_002L.svg| /wiki/File:Italian_traffic_signs_-_intersezione_a_T_con_diritto_di_precedenza_dx.svg| /wiki/File:Luxembourg_road_sign_diagram_A_22_b2.gif| /wiki/File:Nederlands_verkeersbord_B5.svg|| /wiki/File:Znak_A-6b.svg| /wiki/File:Portugal_road_sign_B9b.svg| /wiki/File:Romania_road_sign_A36.svg| /wiki/File:2.3.2_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_P6.svg| /wiki/File:Slovenia_road_sign_I-28.1.svg| /wiki/File:Spain_traffic_signal_p1a.svg| /wiki/File:Sweden_road_sign_A29-10.svg|DISUSED| /wiki/File:Turkish_road_sign_17.jpg| /wiki/File:Ukraine_road_sign_1.23.1.gif| /wiki/File:UK_traffic_sign_506.1L.svg
Merging traffic|NOT USED|NOT USED|NOT USED|NOT USED|NOT USED| /wiki/File:Finland_road_sign_164-R.svg|NOT USED|NOT USED| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-29d.svg| /wiki/File:Hungary_road_sign_A-032.svg| /wiki/File:Iceland_road_sign_A07.21.svg| /wiki/File:Ireland_road_sign_W_030.svg| /wiki/File:Italian_traffic_signs_-_confluenza_dx.svg| /wiki/File:Luxembourg_road_sign_diagram_A_22_c2.gif|NOT USED|NOT USED| /wiki/File:Znak_A-6d.svg| /wiki/File:Portugal_road_sign_B9d.svg|NOT USED| /wiki/File:2.3.6_Russian_road_sign.svg|NOT USED| /wiki/File:Slovenia_road_sign_I-29.1.svg| /wiki/File:Spain_traffic_signal_p1c.svg| /wiki/File:Sweden_road_sign_A29-14.svg|DISUSED|NOT USED|NOT USED| /wiki/File:UK_traffic_sign_508.1.svg
Road narrows on both sides| /wiki/File:Gefahrenzeichen_8a.svg| /wiki/File:Belgian_road_sign_A7a.svg| /wiki/File:Czech_Republic_road_sign_A_6a.svg| /wiki/File:Denmark_road_sign_A43.1.svg| /wiki/File:EE_traffic_sign-161.png| /wiki/File:Finland_road_sign_121.svg| /wiki/File:France_road_sign_A3.svg| /wiki/File:Zeichen_120_-_Verengte_Fahrbahn,_StVO_1970.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-5.svg| /wiki/File:Hungary_road_sign_A-007.svg| /wiki/File:Iceland_road_sign_A14.11.svg| /wiki/File:Ireland_road_sign_W_071.svg| /wiki/File:Italian_traffic_signs_-_strettoia_simmetrica.svg| /wiki/File:Luxembourg_road_sign_diagram_A_4_a.gif| /wiki/File:Nederlands_verkeersbord_J17.svg| /wiki/File:Norwegian-road-sign-106.1.svg| /wiki/File:Znak_A-12a.svg| /wiki/File:Portugal_road_sign_A4a.svg| /wiki/File:Romania_road_sign_A9.svg| /wiki/File:1.20.1_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A4a.svg| /wiki/File:Slovenia_road_sign_I-5.svg| /wiki/File:Spain_traffic_signal_p17.svg| /wiki/File:Sweden_road_sign_A5-1.svg| /wiki/File:CH-Gefahrensignal-Engpass.svg| /wiki/File:Turkish_road_sign_18.jpg| /wiki/File:Ukraine_road_sign_1.5.1.gif| /wiki/File:UK_traffic_sign_516.svg
Road narrows on right (left)| /wiki/File:Gefahrenzeichen_8c.svg| /wiki/File:Belgian_road_sign_A7b.svg| /wiki/File:Czech_Republic_road_sign_A_6b.svg| /wiki/File:Denmark_road_sign_A43.3.svg| /wiki/File:EE_traffic_sign-162.png| /wiki/File:Finland_road_sign_121.svg| /wiki/File:France_road_sign_A3a.svg| /wiki/File:Zeichen_121-10_-_einseitig_(rechts)_verengte_Fahrbahn,_StVO_1992.svg| /wiki/File:Traffic_Sign_GR_-_KOK_2009_-_K-6d.svg| /wiki/File:Hungary_road_sign_A-009.svg| /wiki/File:Iceland_road_sign_A14.21.svg| /wiki/File:Ireland_road_sign_W_070L.svg| /wiki/File:Italian_traffic_signs_-_strettoia_asimmetrica_a_destra.svg| /wiki/File:Luxembourg_road_sign_diagram_A_4_b.gif| /wiki/File:Nederlands_verkeersbord_J18.svg| /wiki/File:Norwegian-road-sign-106.2.svg| /wiki/File:Znak_A-12b.svg| /wiki/File:Portugal_road_sign_A4c.svg| /wiki/File:Romania_road_sign_A10.svg| /wiki/File:1.20.2_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A4b.svg| /wiki/File:Slovenia_road_sign_I-5.1.svg| /wiki/File:Spain_traffic_signal_p17a.svg| /wiki/File:Sweden_road_sign_A5-2.svg| /wiki/File:CH-Gefahrensignal-Verengung-rechts.svg| /wiki/File:Turkish_road_sign_19.jpg| /wiki/File:Ukraine_road_sign_1.5.2.gif| /wiki/File:UK_traffic_sign_517L.svg
Dangerous crosswinds| /wiki/File:Gefahrenzeichen_10a.svg| /wiki/File:Belgian_road_sign_A37.svg| /wiki/File:Czech_Republic_road_sign_A_16.svg| /wiki/File:Denmark_road_sign_A95.svg| /wiki/File:EE_traffic_sign-182.png| /wiki/File:Finland_road_sign_183.svg| /wiki/File:France_road_sign_A24.svg| /wiki/File:Zeichen_117-10_-_Seitenwind_von_rechts,_StVO_1992.svg| /wiki/File:Road-sign-Crosswind-L.svg| /wiki/File:Hungary_road_sign_A-052.svg| /wiki/File:Iceland_road_sign_A32.11.svg| /wiki/File:W166_-_Crosswind_-_Warning_Sign_Ireland.png| /wiki/File:Italian_traffic_signs_-_forte_vento_laterale.svg| /wiki/File:Luxembourg_road_sign_diagram_A_18.gif| /wiki/File:Nederlands_verkeersbord_J31.svg| /wiki/File:Norwegian-road-sign-152.0.svg| /wiki/File:Znak_A-19.svg| /wiki/File:Portugal_road_sign_A12.svg| /wiki/File:Romania_road_sign_A30.svg| /wiki/File:1.29_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A32.svg|or /wiki/File:Slovenia_road_sign_I-22.svg| /wiki/File:Spain_traffic_signal_p29.svg| /wiki/File:Sweden_road_sign_A24-1.svg|DEPRE- CATED /wiki/File:CH-Gefahrensignal-Seitenwind.svg| /wiki/File:Turkish_road_sign_20.jpg| /wiki/File:Ukraine_road_sign_1.17.gif| /wiki/File:UK_traffic_sign_581.svg
Low-flying aircraft| /wiki/File:Gefahrenzeichen_10c.svg| /wiki/File:Belgian_road_sign_A35.svg| /wiki/File:Czech_Republic_road_sign_A_20.svg|or /wiki/File:Denmark_road_sign_A96.svg| /wiki/File:EE_traffic_sign-183.png| /wiki/File:Finland_road_sign_182.svg| /wiki/File:France_road_sign_A23.svg| /wiki/File:Zeichen_144-10_-_Flugbetrieb,_Aufstellung_rechts,_StVO_1992.svg| /wiki/File:Road-sign-Low-flying-aircraft.svg| /wiki/File:Hungary_road_sign_A-051.svg| /wiki/File:Iceland_road_sign_A24.11.svg| /wiki/File:Ireland_road_sign_W_165.svg| /wiki/File:Italian_traffic_signs_-_aeromobili.svg|| /wiki/File:Nederlands_verkeersbord_J30.svg| /wiki/File:Norwegian-road-sign-150.0.svg| /wiki/File:Znak_A-26.svg| /wiki/File:Portugal_road_sign_A21.svg| /wiki/File:Romania_road_sign_A29.svg| /wiki/File:1.30_Russian_road_sign.svg| /wiki/File:Dopravn%C3%A1_zna%C4%8Dka_A31.svg| /wiki/File:Slovenia_road_sign_I-21.svg| /wiki/File:Spain_traffic_signal_p12.svg|or /wiki/File:Sweden_road_sign_A23-1.svg|DEPRE- CATED /wiki/File:CH-Gefahrensignal-Flugzeuge.svg| /wiki/File:Turkish_road_sign_21.jpg| /wiki/File:Ukraine_road_sign_1.18.gif|or /wiki/File:UK_traffic_sign_558.svg
