Family|Country|manufacturer|Payload (kg)|Payload (kg)|Payload (kg)|Cost (US$, millions)|Launches reaching…|Launches reaching…|Launches reaching…|Launches reaching…|Status|Date of flight|Date of flight|Refs|Notes
GSLV Mk.III (LVM3)|India|ISRO|10000|4000|--|--|2|2|2|2|Active|2014|--| |First Developmental Flight with active cryogenic upper stage successful
H-I|Japan|Mitsubishi|3200||--|--|9|9| | |Retired|1986|1992| |license-built version of the Thor-ELT
H-II, IIA & IIB|Japan|Mitsubishi|19000|8000|--|(190), 90,|28|26| | |Active|1994|--| |Var:. A202,A2022,A2024,A204,B
Haas|Romania|ARCA|400| |--|--|0|--|--|--|Devel.|2018|--| |Launch from balloon
J-I|Japan|IHI Corporation Nissan Motors|880|--|--|--|1| | | |Retired|1996|1996|March 2013|Partial demo flight only
R-12 & R-14Kosmos|USSR|Yuzhnoye Polyot|1500|--|--|12|610|--|--|559|Retired|1967|2010| |Var:  1, 2, 3, 3M
Kaituozhe|China|CALT|1|--|--|--|3|1|1|0|Active|2002| |March 2013|Var:  1, 2
Lambda 4S|Japan|Nissan ISAS|1|--|--|--|5|1|1|1|Retired|1966|1970|March 2013| 
Long March 1|China|CALT|740|440|--|--|6| |--|--|Retired|1970|2002| |Var:  1, 1D
DF-5Long March 2-3-4|China|CALT|12000|5500|3300|--|167|158|--|--|Active|1971|--| |Var: 2A,2C,2D,2E,3,3A,3B,3C,4,4B Launcher of Shenzhou
Long March 5|China|CALT|25000|14000|8000|--|2|2|1|1|Active|2016|--| |Var: 5, 5B
Long March 6|China|CALT|1500|--|--|--|1|1|1|1|Active|2015|--| | 
Long March 7|China|CALT|20000|--|--|--|1|1|1|1|Active|2016|--| | 
Minotaur I|USA|Orbital ATK|580|--|--|--|11|11|11|11|Active|2000|--| |Derived from the Minuteman II
Minotaur IV & V|USA|Orbital ATK|1735|640|447|50|4|4|4|4|Active|2010|--| |Also 2 suborbital launches (HTV-2a). Variants: IV, IV Lite, IV HAPS, V. Derived from Peacekeeper missile
Mu 1-3-4|Japan|Nissan Motor IHI|770|--|--|--|27| |--|--|Retired|1966|1995| |Var: 1, 3D, 4S, 3C, 3H, 3S, 3SII
Mu 5|Japan|Nissan Motor IHI|1800|--|--|--|7|1|1|6|Retired|1997|2006|January 2014|Var: M-V, M-V KM
N1|USSR|NPO Energia|90000|--|23500|--|4|0|0|0|Retired|1969|1972| |Designed for Soviet Manned Lunar Mission
N-I & II|Japan|Mitsubishi|2000|730|--|--|15| |--|--|Retired|1975|1987| |Derived from the American Delta rocket
Naro|South Korea|Khrunichev KARI|100|--|--|--|3|2|1|1|Retired|2009|2013| |First stage uses the Russian RD-151 engine
Pegasus|USA|Orbital ATK|450|--|--|--|43|42|41|38|Active|1990|--|| 
UR-500 Proton|USSRRussia|Khrunichev|23000|6920|5680|65 (Proton-M)|399| |353|--|Active|1965|--| |Var: K, M. Medium in development.
PSLV|India|ISRO|3800|1300|--|--|40|40|39|38|Active|1993| | |Var: CA, XL, HP, 3SLaunched moon probe Chandrayaan I, Mars probe Mangalyaan I
UR-100N Rokot Strela|Russia|Eurockot Khrunichev|2100|--|--|--|25|23|23| |Active|1994|--| |23 launches of Rokot; 2 launches of Strela
Safir|Iran|ISA|50|--|--|--|7|5|4|4|Active|2007|--| | 
Saturn I & IB|USA|Chrysler Douglas|18600|--|--|19|13|13|13|13|Retired|1961|1975| |Saturn 1 family also included 6 suborbital test launches
Saturn V|USA|Boeing North American Douglas|118000|--|47000|185|13|13|13| |Retired|1967|1973| |Var: Apollo, Skylab
Scout|USA|US Air Force NASA|210|--|--|--|125|104|--|--|Retired|1960|1994| |Var: X1, X2, A, D, G
Shavit|Israel|IAI|225|--|--|15|10|8|8|8|Active|1988|--| |Var: Shavit, -1, -2
R-29Shtil Volna|Russia|Makeyev|430|--|--|--|8| |--|--|Retired|1995|2006| |Var: Volna, Shtil, 2.1, 2R, 3
R-7 Semyorka Soyuz|USSRRussia|RSC Energia TsSKB-Progress|8200|2400|1200|--|1854| |--|--|Active|1957|--||Var: Sputnik, Luna, Vostok-L, Vostok-K, Voskhod, Molniya, Molniya-L, Molniya-M, Polyot, Soyuz, Soyuz-L, Soyuz-M, Soyuz-U, Soyuz-FG, Soyuz-2, Soyuz-2-1v
Simorgh|Iran|ISA|350|--|--|--|2|0|0|0|Active|2016|--|| 
SLS|USA|Orbital ATK Boeing United Launch Alliance Aerojet Rocketdyne|70000 to130,000|--|--|--|0|--|--|--|Devel.|2020|--| |Expected 2020
SLV|India|ISRO|40|--|--|--|4|3|3|2|Retired|1979|1983| |Launched Rohini satellite series
SS-520|Japan|IHI Aerospace|4|--|--|--|4|3|1|1| |2017|--| |Two successful suborbital flights, one failed and one successful attempt to reach orbit. A test how small orbital rockets can be. The rocket has a mass of only 2.6 tonnes.
STSSpace Shuttle|USA|Alliant Martin Marietta Rockwell|24400|3810|--|450|135|134|134|133|Retired|1981|2011| |Orbiter mass: 68585kg.
RT-2PMStart-1|Russia|MITT|532|--|--|--|7|6| | |Active|1993|--| | 
Taurus / Minotaur-C|USA|Orbital Sciences|1450|--|--|--|9|9|6|6|Active|1989|--| |Var:2110, 3110, 3210
Thor|USA|Douglas|1270|--|38|--|357| |--|--|Retired|1957|1980||Launched Pioneer & Explorer probes
LGM-25C Titan I-II-III-IV|USA|Martin Marietta|21900|5773|8600|350|369| |--|--|Retired|1959|2005| |Var: I, II, IIIA, IIIB, IIIC, IIID, IIIE, 34D, IVA, IVBGemini launcher
R-36Tsyklon|USSRUkraine|Yuzhmash|4100|--|--|--|259| |--|--|Retired|1967|2009| |Var: 1, 2, 3.
Unified Launch Vehicle|India|ISRO|15000|6200|--|--|0|--|--|--|Devel.|--|--| |Var: 6S12, 2S60, 2S138, 2S200
Unha-3|North Korea|KCST|200|--|--|--|4|3|2|?|Active|2006|--| |Variants: Paektusan based on Taepodong-1 missile; Unha based on Taepodong-2 missile.
Vanguard|USA|Martin|23|--|--|--|12|--|3| |Retired|1957|1959| | 
Vega|Europe|Avio|2300|--|--|23|13|13|13|13|Active|2012|--| |Vega-C and Vega-E in development.
VLM|Brazil|CTA|380|--|--|--| | | | |Devel.|2019|--| | 
Vulcan|USA|ULA|17,800to34,900|7,400to16,300|--|99|0|--|--| |Devel.|2021| | | 
Zenit|USSRUkraineRussia|Yuzhnoye|13740|6160|4098|--|82| |71|69|Active|1985|--| |Var: 2, 2M (2SB, 2SLB), 3SL, 3SLB, 3SLBF
