Engine;Origin;Designer;Vehicle;Use;Propellant;Specific impulse (s)Default for vacuum, SL for sea level;Thrust (N)VSL;Mass (kg);Thrust/ weight ratioComputed as;Chamber pressure (bar);Oxidiser to Fuel Ratio
Merlin 1D FT;USA;SpaceX;Falcon 9 FTFalcon Heavy;1st;RP-1/LOX;311  282 (SL);914,000  845,000 (SL);470;199.5; ;
Merlin Vacuum 1C;USA;SpaceX;* [[Falcon 1]]"
* [[Falcon 9]];2nd;RP-1/LOX;336;413,644; ;92; ;
Merlin Vacuum 1D;USA;SpaceX;Falcon 9Falcon Heavy;2nd;RP-1/LOX;348;934,000; ; ; ;2.36
Mira (LM10);Italy;Avio;Vega E;3rd;4/LOX;362.3;98,100;250;40; ;3.4
NewtonThree;USA;Virgin Galactic;LauncherOne;Booster;RP-1/LOX; ;266,893; ; ; ;
NewtonFour;USA;Virgin Galactic;LauncherOne;2nd;RP-1/LOX; ;22,241; ; ; ;
NEXT;USA;NASA; ;Ion thruster;Xenon;4,100 @6.9kW;0.236 @6.9kW; ; ; ;
NK-33A (AJ26-62)  11?111 / 14?15;USSR;JSC Kuznetsov;Antares 100Soyuz-2-1v;1st;RP-1/LOX;331;1,638,000;1,222;136.8;145;
NSTARFirst ever ion engine used as a main engine on an operational science spacecraft ([[Deep Space 1]]);USA;Hughes Electron Dynamics Boeing;[[Deep Space 1]]  Dawn;Ion thruster;Xenon;3,100 @2.3kW;0.0920 @2.3kW;8.2; ; ;
P805;EUR; ;Vega;1st;HTPB;280;2,261,000;96,000 withfuel; ; ;
P120C;EUR; ;Ariane 6/Vega-C;Booster/1st;HTPB;279;4,650,000;161,000 withfuel; ; ;
P230;EUR;SNPE and Avio Spa (Italy);Ariane 5;Booster;HTPB;286  259 (SL);6,470,000  5,860,000 (SL);269,000 withfuel; ; ;
PPS-1350 (???-100);RUS;OKB Fakel;SMART-1;Hall thruster;Xenon;1,650 @1.5kW;0.088 @1.5kW;5.3; ; ;
S139;IND;SDSC;PSLV;1st;HTPB;269;486,0000;160,200with fuel; ;58;
Raptor;USA;SpaceX;BFR;1st, 2nd;4/LOX;356  330 (SL);1,700,000 (SL); ; ;300;3.8
Raptor Vacuum;USA;SpaceX;BFR;2nd, 1st on Mars;4/LOX;380+;1,900,000; ; ;300;3.8
RD-0120  11?122;USSR;KBKhA;Energia;1st;2/LOX;455;1,962,000;3,450;57.80;219;
RD-0124  14?23;RUS;KBKhA;Soyuz-2.1bSoyuz-2-1vAngara;2nd, 3rd;RP-1/LOX;359;294,300;520;57.7;160;
RD-107A  14?22;RUS;NPO Energomash;Soyuz-FGSoyuz-2;1st;RP-1/LOX;320.2  263.3 (SL);1,019,892  839,449 (SL);1,090;78.53;61.2;
RD-108A  14?21;RUS;NPO Energomash;Soyuz-FGSoyuz-2;2nd;RP-1/LOX;320.6  257.7 (SL);921,825  792,377 (SL);1,075;75.16;55.5;
RD-117  11?511;USSR;NPO Energomash;Soyuz-U;1st;RP-1/LOX;316  253 (SL);978,000  778,648 (SL);1,100;72.18;54.2;
RD-118  11?512;USSR;NPO Energomash;Soyuz-U;2nd;RP-1/LOX;314  257 (SL);1,000,278  818,855 (SL);1,100;75.91;59.7;
RD-171MMost powerful multi-chamber rocket engine in the world11?520;RUS;NPO Energomash;Zenit-2MZenit-3SLZenit-3SLBZenit-3SLBFSoyuz-5;1st;RP-1/LOX;337.2  309.5 (SL);7,904,160  7,256,921 (SL);9,300;79.57;250;
RD-170RD-17011?521;USSR;NPO Energomash;Energia;1st;RP-1/LOX;337.2  309.5 (SL);7,904,160  7,256,921 (SL);9,300;79.57;250;
RD-180;RUS;NPO Energomash;Atlas VAtlas III;1st;RP-1/LOX;338.4  311.9 (SL);4,152,136  3,826,555 (SL);5,480;71.2;261.7;2.72
RD-181;RUS;NPO Energomash;Antares 200;1st;RP-1/LOX;339.2  311.9 (SL);2,085,000  1,922,000 (SL);2,200;89;262.6;
RD-191;RUS;NPO Energomash;Angara;1st;RP-1/LOX;337.5  311.2 (SL);2,084,894  1,922,103 (SL);2,200;89.09;262.6;
RD-193;RUS;NPO Energomash;Soyuz-2-1v;1st;RP-1/LOX;337.5  311.2;2,084,894  1,922,103 (SL);1,900;103.15; ;
RD-264  11?119;USSR;NPO Energomash;Dnepr;1st;4/UDMH;318  293 (SL);4,521,000;3,600;128.15;206;
RD-275M  14?14?;RUS;NPO Energomash;Proton-M;1st;4/UDMH;315.8  288 (SL);1,831,882  1,671,053 (SL);1,070;159.25;165.2;
RD-56 (KVD-1)  11?56?;RUS;KBKhM;GSLV Mk I;Upper;2/LOX;462;69,626;282;25.17;55.9;
Reaver 1;USA;Firefly Aerospace;;1st;RP-1/LOX;295.6;184,000;;;;
RL-10A-4-2;USA;Aerojet Rocketdyne;Atlas IIIB  Atlas V;Upper;2/LOX;451;99,100;167;60.5;39;
RL-10B-2;USA;Aerojet Rocketdyne;Delta IIIDelta IVSLS;Upper;2/LOX;462;109,890;277;40.5;44;
RL-10C-1;USA;Aerojet Rocketdyne;Delta IIIDelta IVSLS,Vulcan;Upper;2/LOX;470;110,000;277;40.5;44;
RS-25 (SSME)Inactive since last Shuttle flight [[STS-135]] in 2011;USA;Rocketdyne;Space ShuttleSLS;1st;2/LOX;452.3;2,279,0001,860,000 (SL);3,526;53.79;206.4;
RS-68AMost powerful hydrogen-fueled engine in the world;USA;Rocketdyne;Delta IVDelta IV Heavy;1st;2/LOX;414;3,560,000  3,137,000 (SL);6,747;53.80;196June 2017;
Rutherford;NZL;Rocket Lab;Electron;1st, 2nd;RP-1/LOX;327;22,000  16,890 (SL); ; ; ;
S200;IND;SDSC;GSLV Mk III;Booster;HTPB;274.5;5,150,000;207,000with fuel; ; ;
SCE-200;IND;LPSC;GSLV Mk III  ULV;Upper / Main;RP-1/LOX;335  299 (SL);2,030,000  1,820,000 (SL);2700; ;180;
SLS Solid Rocket BoosterLargest, most powerful [[solid-fuel rocket]] motor ever built;USA;Orbital ATK;SLS;Booster;PBAN;267;16,000,000;730,000  with fuel; ; ;
SLV-1;IND;Godrej & Boyce;PSLV;Booster;HTPB;253;502,600;10,800  with fuel; ;43;
Space Shuttle Solid Rocket BoosterLargest [[solid-fuel rocket]] motor ever flown, and the first to be used for primary propulsion on human spaceflight missions;USA;Thiokol;Space ShuttleAres I;Booster;PBAN/APCP;268;14,000,000  12,500,000 (SL);590,000  with fuel; ; ;
SPT-100;RUS;OKB Fakel;LS-1300 satellites;Hall thruster;Xenon;1,500 @1.35kW;0.083 @1.35kW;3.5; ; ;
SRB-A;JPN;IHI AerospaceJAXA;H-IIA;Booster;HTPB;280;2,250,000;76,400 with fuel; ;118;
SRB-A3;JPN;IHI AerospaceJAXA;H-IIB  Epsilon;Booster;BP-207J;283.6;2,305,000  2,150,000 (SL);76,600  with fuel; ;111;
UA1207;USA;United Technologies;Titan IV;Booster;PBAN;272  245 (SL);7,116,000  6,410,400 (SL);319,330  with fuel; ; ;
VASIMR;USA;Ad Astra Rocket Company; ;Electro-magnetic thruster;Argon;5,000 @200kW;5.7 @200kW; ; ; ;
Vikas (rocket engine);IND;LPSC;* [[PSLV]]"
* [[GSLV]]"
* [[GSLV Mk III]];Second / Main / Booster;4/UDMH;262;680,500–804,500 V  600,500–756,500 (SL); ; ;53.0–58.5;
Viking 2;EUR;Snecma;Ariane 1;1st;4/UDMH; ;690,000   611,200 (SL);776;90.67; ;
Viking 2B;EUR;Snecma;Ariane 2Ariane 3;1st;4/25; ;643,000 (SL);776;84.5; ;
Viking 4;EUR;Snecma;Ariane 1;2nd;4/UDMH; ;713,000;826;88; ;
Viking 4B;EUR;Snecma;Ariane 2Ariane 3Ariane 4;2nd;4/25; ;800,000;826;98.76; ;
Viking 5C;EUR;Snecma;Ariane 4;1st;4/25; ;758,000  678,000 (SL);826;93.57; ;
Viking 6;EUR;Snecma;Ariane 4;Booster;4/25; ;750,000;826;92.59; ;
Vinci;EUR;Snecma;Ariane 6;Upper;2/LOX;467;180,000;280;65.60;61;
Vulcain  HM-60;EUR;Snecma;Ariane 5;1st;2/LOX;439  326 (SL);1,113,000  773,200 (SL);1,300;84.38;109;
Vulcain 2;EUR;Snecma;Ariane 5;1st;2/LOX;429  318 (SL);1,359,000  939,500 (SL);1,800;77.04;117.3;
Waxwing;UK;Bristol Aerojet;Black Arrow;Upper;Solid;278  245 (SL);29,400  25,900 (SL);87;34.48; ;
XIPS-25;USA;Boeing;Boeing 702 satellites;Ion thruster;Xenon;3,500 @4.5kW;0.165 @4.5kW; ; ; ;
YF-100;CHN;AALPT;* [[Long March 5]]"
* [[Long March 6]]"
* [[Long March 7]];Boosters, 1st;RP-1/LOX;335  300 (SL);1,340,000  1,200,000 (SL); ; ;180;
YF-115;CHN;AALPT;* [[Long March 6]]"
* [[Long March 7]];2nd;RP-1/LOX;341.5;176,500; ; ; ;
YF-21B;CHN;AALPT;* [[Long March 2E]]"
* [[Long March 2F]]"
* [[Long March 3]];Boosters, 1st;4/UDMH;260.66(SL);2,961,600(SL); ; ; ;
YF-21C;CHN;AALPT;* [[Long March 2C]]"
* [[Long March 2D]]"
* [[Long March 3A]]"
* [[Long March 3B]]"
* [[Long March 3C]]"
* [[Long March 4B]]"
* [[Long March 4C]];1st;4/UDMH;260.7(SL);2,961,600(SL); ;;YF-25;CHN
AALPT;* [[Long March 3B]]"
* [[Long March 3C]];Boosters;4/UDMH;260.66(SL);740,400(SL); ; ; ;;YF-22B;CHN
AALPT;* [[Long March 2E]]"
* [[Long March 2F]];2nd;4/UDMH;298.0;738,400; ; ; ;;YF-22C;CHN
AALPT;* [[Long March 2C]]"
* [[Long March 2D]]"
* [[Long March 4B]]"
* [[Long March 4C]];2nd;4/UDMH;298.0;742,040; ; ; ;;YF-22D;CHN
AALPT;* [[Long March 3]];2nd;4/UDMH;298.0;741,400; ; ; ;;YF-22E;CHN
AALPT;* [[Long March 3A]]"
* [[Long March 3B]]"
* [[Long March 3C]];2nd;4/UDMH;298.0;741,400; ; ; ;;YF-40;CHN
AALPT;* [[Long March 4B]]"
* [[Long March 4C]];3rd;4/UDMH;303;103,000; ; ; ;;YF-50D;CHN
AALPT;* [[Long March 3B]]"
* [[Long March 3C]]"
* [[Long March 5]]"
* [[Long March 7]];Upper;4/UDMH;315.5;6,500; ; ; ;;YF-73;CHN
AALPT;Long March 3;3rd;2/LOX;420.0;44,150; ; ; ;;YF-75;CHN
AALPT;* [[Long March 3A]]"
* [[Long March 3B]]"
* [[Long March 3C]];3rd;2/LOX;438.0;167,170; ; ; ;;YF-75D;CHN
AALPT;Long March 5;2nd;2/LOX;442.0;86,260; ; ; ;;YF-77;CHN
AALPT;Long March 5;1st;2/LOX;430310.2 (SL);700,000510,000 (SL);2,700;;102;;Rodong-1;North Korea
Korean Committee of Space Technology;Paektusan/Unha;1st;UDMH/AK27;95/120;280,000/1,200,000; ; ; ;;;
