Vehicle;Origin;Manufacturer;Payload mass to … (kg);Payload mass to … (kg);Payload mass to … (kg);LaunchesSuborbital flight tests and on-pad explosions are excluded, but launches failing en route to orbit are included.;Date of flight;Date of flight
Soyuz-5;RUS;TsSKB-ProgressRSC Energia;18,000; ;2,500 to GEO;0;2022;
Soyuz-5 super-heavy derivative;RUS;TsSKB-ProgressRSC Energia;88,000–115,000; ;20,000 to TLI;0;2028;
SS-520;JAP;IHI Aerospace;4; ; ;2;2017A prior version of the SS-520 flew twice as a suborbital sounding rocket in 1998 and 2000. In 2017, the addition of a small third stage enabled orbital launches of ultra-light [[nanosatellite|nano-]] or [[picosatellite]]s.;2018
SSLV;IND;ISRO;500; ;300 to SSO;0;2019;
Unha;North Korea;KCST;100; ; ;4;2009A suborbital test flight failed in 2006. The first two orbital missions failed in 2009 and 2012, and the rocket finally reached orbit in late 2012.;2016
Vector-R;USA;Vector Space Systems;64; ; ;0;2019Two suborbital test flights were performed in 2017.;
Vector-H;USA;Vector Space Systems;160; ; ;0;2019;
Vega;Europe;ESA / ASI;1500Reference altitude 700 km; ;1330 to SSO;13;2012;2018
Vega C;Europe;ESA / ASI;2200700km;; ;0;2019; 
Vega E;Europe;ESA / ASI;3000700km;; ;0;2024; 
Vulcan / Centaur;USA;ULA;1;1;1 to GEO;0;2021;
Vulcan / ACES;USA;ULA;1Calculated as 30% more than Delta IV Heavy, per sources;1vulcan-aces-calc;1 to TLIvulcan-aces-calc;0;2023;
Zenit-3F;UKR;Yuzhnoye; ; ;1740 to GEO;4;2011;2017
Zenit-3SL;UKR;Yuzhmash  RSC Energia;7000;6160; ;36;1999;2014
Zenit-3SLB / 3M;UKR;Yuzhmash  RSC Energia;;3750;;6;2008;2013
Zero;JPN;Interstellar Technologies; ; ;100 to SSO500km;0;2020;
Zhuque-1;CHN;LandSpace;300; ;200 to SSO;1;2018;2018
Zhuque-2;CHN;LandSpace;4,000; ;2,000 to SSO;0;2020;
