 Overall rank ; Rank by U.S. state and territory ; Country/U.S. state and territory ; GDP per capita (USD)
230;—;Myanmar;1,161
231;—;Cambodia;1,159
232;—;Kyrgyzstan;1,106
233;—;Yemen;1,106
234;—;South Sudan;1,067
235;—;Lesotho;941
236;—;Tajikistan;926
237;—;Eritrea;915
238;—;Senegal;901
239;—;Zimbabwe;890
240;—;Tanzania;877
241;—;Haiti;794
242;—;Benin;779
243;—;Mali;744
244;—;Nepal;725
245;—;Chad;713
246;—;Guinea;704
247;—;Rwanda;697
248;—;Sierra Leone;695
249;—;North Korea;648
250;—;Uganda;648
251;—;Afghanistan;623
252;—;Burkina Faso;611
253;—;Ethiopia;603
254;—;Togo;559
255;—;Guinea-Bissau;530
256;—;Mozambique;529
257;—;Congo, Democratic Republic of the;486
258;—;Gambia, The;473
259;—;Liberia;456
260;—;Madagascar;402
261;—;Malawi;373
262;—;Niger;359
263;—;Central African Republic;333
264;—;Burundi;245
265;—;Somalia;145
