Model;Launch;Code name (s);Fab (nm);Transistors (billion);Die size (mm2);Core config;Bus interface;Clock speeds;Clock speeds;Clock speeds;Clock speeds;Fillrate;Fillrate;Memory;Memory;Memory;Memory;Latest supported API version;Latest supported API version;Latest supported API version;Latest supported API version;Latest supported API version;Processing power (GFLOPS)4;Processing power (GFLOPS)4;Processing power (GFLOPS)4;TDP (Watts);SLI support5;Release price (USD);Release price (USD);Model
GeForce GTX 1060;256;5783.0 (6462.7) (7296.0);TSMC16FF;180.7 (201.9) (228.0);72.2(82.0)(96.0);PCIe 3.0 x16;6;192;GDDR5;2000;3855.3 (4375.0) (5120.0);90.3 (100.9) (114.0);150;4-way SLI or 2-way SLI HB;$379;$449 ($399);GeForce GTX 1070;12 (12_1);4.6;2.2;1.1.94;6.1;December 4, 2018;GP104-200-A1;8008 (1001 MHz x 8);GDDR5X;?;?;GeForce GTX 1070 Ti;November 2, 2017
GeForce GTX 1060;GP104-300-A1;4.4;TSMC16FF;200;72.2(82.0)(96.0);PCIe 3.0 x16;6;192;GDDR5;2000;3855.3 (4375.0) (5120.0);2432:152:64 (19);1607;?;8008 (2002 MHz x 4);102.8(107.7)(?);244 (256) (?);12 (12_1);4.6;2.2;1.1.94;6.1;GDDR5;7816.4 (8186.1) (?);244.2 (255.8) (?);122.1 (127.9) (?);180;$449;$449;GeForce GTX 1070 Ti
GeForce GTX 1060;GeForce GTX 1080;May 27, 2016;TSMC16FF;GP104-400-A1;72.2(82.0)(96.0);PCIe 3.0 x16;6;192;2560:160:64 (20);2000;3855.3 (4375.0) (5120.0);1733;1800;10008 (1251MHz x 8);102.8(110.9) (115.2);257.1(277.2) (288.0);320.2;12 (12_1);4.6;2.2;1.1.94;6.1;GDDR5X;8227.8 (8872.9) (9216.0);257.1 (277.2) (288.0);128.5 (138.6) (144.0);$599 ($499);$699 ($549);GeForce GTX 1080;April 20, 2017
GeForce GTX 1060;GP104-410-A1;11008 (1376MHz x 8);TSMC16FF;352.2;72.2(82.0)(96.0);PCIe 3.0 x16;6;192;GeForce GTX 1080 Ti;2000;3855.3 (4375.0) (5120.0);March 5, 2017;GP102-350-K1-A1;12;471;3584:224:88 (28);1480;12 (12_1);4.6;2.2;1.1.94;6.1;1582;1645;130.2(139.2) (144.7);331.5(354.3) (368.4);11;484.3;352;10608.6 (11339.7) (11791.3)
331.5 (354.3) (368.4);165.7 (177.1) (184.2);250;TSMC16FF;$699;$699;PCIe 3.0 x16;GeForce GTX 1080 Ti;Nvidia TITAN X;August 2, 2016;GP102-400-A1;3584:224:96 (28);1417;1531;1595;10008 (1251MHz x 8);136.0(146.9) (153.1);317.4(342.9) (357.2);12 (12_1);4.6;2.2;1.1.94;6.1;12;480.3;384;10157.0 (10974.2) (11432.9);317.4 (342.9) (357.2);158.7 (171.4) (178.6);$1200;rowspan=""2"" N/A
GeForce GTX 1070;Nvidia TITAN X;Nvidia TITAN Xp;TSMC16FF;7.2;1920:120:64 (15);PCIe 3.0 x16;1683;April 6, 2017;96.3(107.7)(121.6);180.7 (201.9) (228.0);8;256.2;256;5783.0 (6462.7) (7296.0);180.7 (201.9) (228.0);90.3 (100.9) (114.0);150;12 (12_1);4.6;2.2;1.1.94;6.1;4-way SLI or 2-way SLI HB;GP102-450-A1;3840:240:96 (30);1405;1480;1582;11408 (1426MHz x 8);134.8 (142.0) (151.8)
337.2 (355.2) (379.6);547.6;10790.4 (11366.4) (12149.7);TSMC16FF;7.2;337.2 (355.2) (379.6);PCIe 3.0 x16;1683;168.6 (177.6) (189.8);Nvidia TITAN Xp;Model;8;256.2;256;Launch;Code name (s);Fab (nm);Transistors (billion);12 (12_1);4.6;2.2;1.1.94;6.1;4-way SLI or 2-way SLI HB;Die size (mm2);CUDA coresa (SM/SMP/ Streaming Multiprocessor);Bus interface;Base core clock (MHz);Boost core clock (MHz);Max Boost 3.0 (MHz);Memory (MT/s)
Pixel Base Core (Base Boost) (Max Boost 3.0) (GP/s)2;Texture Base Core (Base Boost) (Max Boost 3.0) (GT/s)3;Size (GiB);TSMC16FF;7.2;Bandwidth (GB/s);PCIe 3.0 x16;Bus type;Bus width (bit);Direct3D;OpenGL;8;OpenCL;256;Vulkan;CUDA;Single precision Base Core (Base Boost) (Max Boost 3.0);Double precision Base Core (Base Boost) (Max Boost 3.0);12 (12_1);4.6;2.2;1.1.94;6.1;4-way SLI or 2-way SLI HB;Half precision Base Core (Base Boost) (Max Boost 3.0)7;TDP (Watts);SLI support5;MSRP;Founders Edition;Model;Core config
GeForce GTX 1080;Clock speeds;Clock speeds;TSMC16FF;7.2;2560:160:64 (20);PCIe 3.0 x16;Clock speeds;257.1(277.2) (288.0);Clock speeds;GDDR5X;8;8227.8 (8872.9) (9216.0);256;128.5 (138.6) (144.0);$699 ($549);GeForce GTX 1080;Fillrate;12 (12_1);4.6;2.2;1.1.94;6.1;4-way SLI or 2-way SLI HB;Fillrate;Memory;Memory;Memory;Memory;Latest supported API version;Latest supported API version
Latest supported API version;Latest supported API version;11008 (1376MHz x 8);TSMC16FF;Latest supported API version;Processing power (GFLOPS)4;PCIe 3.0 x16;Processing power (GFLOPS)4;Processing power (GFLOPS)4;Release price (USD);GDDR5X;Release price (USD);;;;;;;12 (12_1);4.6;2.2;1.1.94;6.1;4-way SLI or 2-way SLI HB;;;;;;;
;;;TSMC16FF;;;PCIe 3.0 x16;;;;GDDR5X;;;;;;;;12 (12_1);4.6;2.2;1.1.94;6.1;4-way SLI or 2-way SLI HB;;;;;;;
;;;TSMC16FF;;;PCIe 3.0 x16;;;;GDDR5X;;;;;;;;12 (12_1);4.6;2.2;1.1.94;6.1;4-way SLI or 2-way SLI HB;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
