Language;Language;Pairaphrase;Xerox Easy Translator;Omniscien Technologies Language Studio;IBM Watson;Apertium;OpenLogos;Google Translate;;Moses for Mere Mortals;Babel Fish;Bing Translator;GramTrans;SYSTRAN;IdiomaX;SAIC Omnifluent;lingenio translate
To English;Hungarian to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;Indonesian to English;Yes;Yes;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No
To English;Irish to English;No;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No
To English;Italian to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No
To English;Japanese to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
To English;Korean to English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No
To English;Latvian to English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No
To English;Lithuanian to English;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;Macedonian to English
To English;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;Malay to English
To English;Yes;Yes;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Maltese to English
To English;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Norwegian to English
To English;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;yes;Yes;Yes;No;No;No;Persian to English
To English;Yes;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;Polish to English
To English;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;Portuguese to English
To English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Portuguese (Brazilian) to English
To English;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Romanian to English
To English;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;Russian to English
To English;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Serbo-Croatian to English;Yes
To English;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;Slovak to English;Yes
To English;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;Slovene to English;Yes
To English;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;Spanish to English;Yes
To English;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Swedish to English;Yes
To English;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;Tagalog to English;No
To English;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Thai to English;Yes
To English;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;Turkish to English;Yes
To English;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;Ukrainian to English;Yes
To English;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Welsh to English;Yes
To English;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Language;Language
Pairaphrase;Xerox Easy Translator;Omniscien Technologies Language Studio;IBM Watson;Apertium;OpenLogos;Google Translate;;Moses for Mere Mortals;Babel Fish;Bing Translator;GramTrans;SYSTRAN;IdiomaX;SAIC Omnifluent;lingenio translate;Chinese (Simplified);English to Chinese (Simplified)
Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;German to Chinese (Simplified);Yes
Chinese (Simplified);Yes;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;To Chinese (Traditional);English to Chinese (Traditional)
Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;German to Chinese (Traditional);Yes
To Chinese (Traditional);Yes;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;To Dutch;English to Dutch
Yes;Yes;Yes;Yes;No;dunno;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;French to Dutch;Yes
To Dutch;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;To French;English to French
Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;German to French;Yes
To French;Yes;Yes;Yes;No;dunno;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Spanish to French;Yes
To French;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Catalan to French;Yes
To French;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Russian to French;Yes
To French;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Dutch to French;Yes
To French;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Italian to French;Yes
To French;Yes;Yes;No;dunno;dunno;Yes;Yes;Yes;dunno;Yes;dunno;Yes;Yes;Yes;No;Breton to French;No
To French;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;To Galician;English to Galician
No;No;No;No;Yes;dunno;Yes;No;Yes;No;No;No;No;No;No;No;Portuguese to Galician;No
To Galician;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;Spanish to Galician;No
To Galician;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;To German;Chinese (Simplified) to German
Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Chinese (Traditional) to German;Yes
To German;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;English to German;Yes
To German;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;French to German;Yes
To German;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Spanish to German;Yes
To German;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Russian to German;Yes
To German;Yes;Yes;No;No;No;Yes;Yes;No;Yes;Yes;No;No;No;Yes;No;Italian to German;Yes
To German;Yes;Yes;Yes;dunno;dunno;Yes;Yes;Yes;dunno;Yes;dunno;Yes;Yes;Yes;No;To Italian;English to Italian
Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Spanish to Italian;Yes
To Italian;Yes;Yes;No;No;dunno;Yes;Yes;Yes;dunno;Yes;dunno;Yes;Yes;Yes;No;French to Italian;Yes
To Italian;Yes;Yes;No;No;dunno;Yes;Yes;Yes;dunno;Yes;dunno;Yes;Yes;Yes;No;German to Italian;Yes
To Italian;Yes;Yes;Yes;No;dunno;Yes;Yes;Yes;dunno;Yes;dunno;Yes;Yes;Yes;No;To Japanese;English to Japanese
Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;German to Japanese;Yes
To Japanese;Yes;Yes;No;No;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;To Korean;English to Korean
Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;To Portuguese;English to Portuguese
Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;To Russian;English to Russian
Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;French to Russian;Yes
To Russian;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;Spanish to Russian;Yes
To Russian;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;German to Russian;Yes
To Russian;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;Italian to Russian;Yes
To Russian;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;To Spanish;English to Spanish
Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Russian to Spanish;Yes
To Spanish;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;French to Spanish;Yes
To Spanish;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;German to Spanish;Yes
To Spanish;Yes;Yes;No;No;dunno;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Italian to Spanish;Yes
To Spanish;Yes;Yes;No;dunno;dunno;Yes;Yes;Yes;dunno;Yes;dunno;No;Yes;Yes;No;To Welsh;English to Welsh
Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Language;Language
Pairaphrase;Xerox Easy Translator;Omniscien Technologies Language Studio;IBM Watson;Apertium;OpenLogos;Google Translate;;Moses for Mere Mortals;Babel Fish;Bing Translator;GramTrans;SYSTRAN;IdiomaX;SAIC Omnifluent;lingenio translate;To Arabic;English to Arabic
Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;To Catalan;English to Catalan
Yes;No;No;No;Yes;dunno;Yes;Yes;Yes;No;Yes;No;No;No;No;No;French to Catalan;Yes
To Catalan;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Italian to Catalan;Yes
To Catalan;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Occitan to Catalan;No
To Catalan;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;Spanish to Catalan;Yes
To Catalan;No;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;To Czech;English to Czech
Yes;Yes;Yes;Yes;No;dunno;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;German to Czech;Yes
To Czech;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;To Danish;English to Danish
Yes;Yes;Yes;Yes;No;dunno;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;To Esperanto;Catalan to Esperanto
No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;Danish to Esperanto;No
To Esperanto;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;English to Esperanto;No
To Esperanto;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;French to Esperanto;No
To Esperanto;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;Spanish to Esperanto;No
To Esperanto;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;To Finnish;English to Finnish
Yes;Yes;Yes;Yes;No;dunno;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;To Greek;English to Greek
Yes;Yes;Yes;No;No;dunno;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;To Haitian Creole;English to Haitian Creole
Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;To Hebrew;English to Hebrew
Yes;No;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;To Hindi;English to Hindi
Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;To Hungarian;English to Hungarian
Yes;Yes;Yes;Yes;No;dunno;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;To Norwegian Bokmål;English to Norwegian Bokmål
Yes;Yes;Yes;Yes;No;dunno;Yes;No;Yes;No;No;Yes;No;No;No;No;Norwegian Nynorsk to Norwegian Bokmål;Yes
To Norwegian Bokmål;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;To Norwegian Nynorsk;Norwegian Bokmål to Norwegian Nynorsk
Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;To Occitan;Catalan to Occitan
No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Spanish to Occitan;No
To Occitan;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;To Persian;English to Persian
Yes;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;To Polish;English to Polish
Yes;Yes;Yes;Yes;No;dunno;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;German to Polish;Yes
To Polish;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;To Romanian;English to Romanian
Yes;Yes;Yes;No;No;dunno;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;To Serbo-Croatian;English to Serbo-Croatian
Yes;No;Yes;No;No;dunno;Yes;Yes;Yes;No;No;Yes;No;No;No;No;To Slovenian;English to Slovenian
Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;German to Slovenian;Yes
To Slovenian;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;To Swedish;English to Swedish
Yes;Yes;Yes;Yes;No;dunno;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;To Turkish;English to Turkish
Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;To Ukrainian;English to Ukrainian
Yes;Yes;Yes;No;No;dunno;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Total (confirmed);Total (confirmed)
55;85;85;51;27;7;110;94;31;89;10;64;15;59;6;;;
